asset_tag,asset_type,serial_number,manufacturer,model,purchase_date,warranty_years,condition_status,assigned_to,location,asset_status,error_reason
UST-MNT-0051,Monitor,SN-LG-10051,LG,UltraWide 29WL509,5/21/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0053,Laptop,SN-DL-10053,Dell,Latitude 5533,9/20/2022,3,Good,Rajesh Patel,Trivandrum,Assigned,Invalid location
UST-MNT-0055,Monitor,SN-LG-10055,LG,UltraWide 29WL510,10/23/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0057,Laptop,SN-DL-10057,Dell,Latitude 5534,2/28/2024,3,Good,Deepak Reddy,Trivandrum,Assigned,Invalid location
UST-MNT-0059,Monitor,SN-LG-10059,LG,UltraWide 29WL511,11/24/2021,2,Good,,Chennai,Available,Invalid manufacturer
UST-MNT-0060,Monitor,SN-SAM-10060,Samsung,S24R364,12/15/2023,3,Fair,,Hyderabad,Available,Invalid condition_status
UST-LTP-0061,Laptop,SN-DL-10061,Dell,Latitude 5535,4/10/2022,3,Good,Rohit Sharma,Trivandrum,Assigned,Invalid location
UST-MNT-0063,Monitor,SN-LG-10063,LG,UltraWide 29WL512,6/12/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0065,Laptop,SN-DL-10065,Dell,Latitude 5536,1/15/2024,0,Good,Ramesh Kumar,Trivandrum,Assigned,Warranty years must be 1-5
UST-LTP-0066,Laptop,SN-LN-10066,Lenovo,ThinkPad E31,8/10/2022,-2,New,Anita Das,Bangalore,Assigned,Warranty years must be 1-5
UST-MNT-0067,Monitor,SN-LG-10067,LG,,7/25/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-MNT-0068,Monitor,SN-SAM-10068,Samsng,S24R366,4/12/2025,3,Excellent,,Hyderabad,Available,Invalid manufacturer
UST-LTP-0069,Laptop,SN-DL-10069,Dell,Latitude 5537,3/18/2022,3,Good,Vivek Reddy,Trivandrum,Assigned,Invalid location
UST-MNT-0071,Monitor,SN-LG-10071,LG,UltraWide 29WL513,5/21/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0073,Laptop,SN-DL-10073,Dell,Latitude 5538,9/20/2022,3,Good,Rajesh Patel,Trivandrum,Assigned,Invalid location
UST-MNT-0075,Monitor,SN-LG-10075,LG,UltraWide 29WL514,10/23/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0077,Laptop,SN-DL-10077,Dell,Latitude 5539,2/28/2024,3,Good,Deepak Reddy,Trivandrum,Assigned,Invalid location
UST-MNT-0079,Monitor,SN-LG-10079,LG,UltraWide 29WL515,11/24/2021,2,Good,,Chennai,Available,Invalid manufacturer
UST-MNT-0080,Monitor,SN-SAM-10080,Samsung,S24R369,12/15/2023,3,Fair,,Hyderabad,Available,Invalid condition_status
UST-LTP-0081,Laptop,SN-DL-10081,Dell,Latitude 5540,4/10/2022,3,Good,Rohit Sharma,Trivandrum,Assigned,Invalid location
UST-MNT-0083,Monitor,SN-LG-10083,LG,UltraWide 29WL516,6/12/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0085,Laptop,SN-DL-10085,Dell,Latitude 5541,1/15/2024,0,Good,Ramesh Kumar,Trivandrum,Assigned,Warranty years must be 1-5
UST-LTP-0086,Laptop,SN-LN-10086,Lenovo,ThinkPad E36,8/10/2022,-2,New,Anita Das,Bangalore,Assigned,Warranty years must be 1-5
UST-MNT-0087,Monitor,SN-LG-10087,LG,,7/25/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-MNT-0088,Monitor,SN-SAM-10088,Samsng,S24R371,4/12/2025,3,Excellent,,Hyderabad,Available,Invalid manufacturer
UST-LTP-0089,Laptop,SN-DL-10089,Dell,Latitude 5542,3/18/2022,3,Good,Vivek Reddy,Trivandrum,Assigned,Invalid location
UST-MNT-0091,Monitor,SN-LG-10091,LG,UltraWide 29WL517,5/21/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0093,Laptop,SN-DL-10093,Dell,Latitude 5543,9/20/2022,3,Good,Rajesh Patel,Trivandrum,Assigned,Invalid location
UST-MNT-0095,Monitor,SN-LG-10095,LG,UltraWide 29WL518,10/23/2021,2,Fair,,Chennai,Available,Invalid manufacturer
UST-LTP-0097,Laptop,SN-DL-10097,Dell,Latitude 5544,2/28/2024,3,Good,Deepak Reddy,Trivandrum,Assigned,Invalid location
UST-MNT-0099,Monitor,SN-LG-10099,LG,UltraWide 29WL519,11/24/2021,2,Good,,Chennai,Available,Invalid manufacturer
UST-MNT-0100,Monitor,SN-SAM-10100,Samsung,S24R374,12/15/2023,3,Fair,,Hyderabad,Available,Invalid condition_status
