order_id,customer_name,state,product,quantity,price_per_unit,total_amount,status
1082,Deepika Madhavan,Karnataka,Charger,2,300.0,600.0,PENDING
1083,Mohan Rao,Andhra Pradesh,Laptop Bag,1,850.0,850.0,DELIVERED
1084,Nalini Sharma,Rajasthan,Mouse,2,450.0,900.0,SHIPPED
1086,Aditi Gupta,Delhi,Mobile Phone,2,15000.0,30000.0,SHIPPED
1088,Kavin Kumar,Tamil Nadu,Headphones,5,999.0,4995.0,PENDING
1090,Alisha Fernandes,Goa,Smartwatch,2,3000.0,6000.0,DELIVERED
1093,Manish Patel,Gujarat,USB Cable,2,200.0,400.0,DELIVERED
1096,Savita Jain,Delhi,Charger,4,300.0,1200.0,DELIVERED
1097,Raghav Sharma,Rajasthan,Smartwatch,2,2600.0,5200.0,CANCELLED
1099,Rafiq Alam,Bihar,Mouse,1,400.0,400.0,PENDING
1102,Vasudha Rao,Karnataka,Speaker,1,1200.0,1200.0,DELIVERED
1103,Bhavana Singh,Uttarakhand,Mobile Phone,2,14000.0,28000.0,PENDING
1104,Sujit Kumar,Jharkhand,Tablet,1,15500.0,15500.0,SHIPPED
1105,Karishma Mehta,Gujarat,Mouse,2,450.0,900.0,SHIPPED
1108,Ritesh Sharma,Rajasthan,USB Cable,5,200.0,1000.0,CANCELLED
1110,Tina Karki,Sikkim,Smartwatch,1,2500.0,2500.0,PENDING
1112,Sneha Nambiar,Kerala,Charger,1,300.0,300.0,SHIPPED
1113,Rohit Sinha,Bihar,Headphones,4,899.0,3596.0,PENDING
1116,Lavanya Rao,Andhra Pradesh,Keyboard,1,700.0,700.0,PENDING
1118,Saurabh Das,Assam,Speaker,1,1200.0,1200.0,SHIPPED
1119,Shankar Iyer,Tamil Nadu,Smartwatch,2,2600.0,5200.0,DELIVERED
1120,Aneesh George,Kerala,Mouse,3,400.0,1200.0,PENDING
1122,Asha Dey,Tripura,USB Cable,2,200.0,400.0,DELIVERED
1124,Aryan Mehra,Haryana,Keyboard,1,650.0,650.0,SHIPPED
1125,Yusuf Pathan,Gujarat,Mouse,3,350.0,1050.0,SHIPPED
1126,Divya M,Karnataka,Smartwatch,1,2500.0,2500.0,DELIVERED
1127,Pritam Paul,West Bengal,Laptop Bag,2,850.0,1700.0,PENDING
1131,Jyoti Kiran,Bihar,Keyboard,1,700.0,700.0,PENDING
1133,Ishita Sen,West Bengal,Tablet,1,16000.0,16000.0,SHIPPED
1135,Rajesh Sinha,Chhattisgarh,Mouse,1,450.0,450.0,PENDING
1136,Anand Nair,Kerala,Keyboard,1,750.0,750.0,SHIPPED
1137,Indu Priya,Karnataka,Smartwatch,2,2500.0,5000.0,DELIVERED
1138,Om Prakash,Haryana,Speaker,3,1200.0,3600.0,PENDING
1140,Kiran Rathod,Gujarat,Mobile Phone,2,15000.0,30000.0,DELIVERED
1141,Anupama Singh,Uttar Pradesh,USB Cable,2,200.0,400.0,SHIPPED
1145,Pooja Kaur,Punjab,Keyboard,1,700.0,700.0,DELIVERED
1146,Faizan Ali,Jharkhand,Smartwatch,2,2500.0,5000.0,CANCELLED
1147,Girish Patil,Karnataka,Headphones,3,950.0,2850.0,SHIPPED
1148,Nitu Rani,Bihar,Mouse,2,350.0,700.0,PENDING
1149,Arjun Singh,Himachal Pradesh,USB Cable,5,200.0,1000.0,DELIVERED
1150,Damodhar Reddy,Andhra Pradesh,Tablet,1,16000.0,16000.0,SHIPPED
